v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,That is wondarfull song,,,
ham,From here after The performance award is calculated every two month.not for current one month period..,,,
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,,,
ham,O was not into fps then.,,,
ham,Ya very nice. . .be ready on thursday,,,
ham,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,,,
ham,"Cool, I'll text you in a few",,,
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,,,
ham,I am joining today formally.Pls keep praying.will talk later.,,,
spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,,,
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
ham,"Just dropped em off, omw back now",,,
ham,"Yeah, probably here for a while",,,
ham,When should I come over?,,,
ham,You will be in the place of that man,,,
ham,Thnx dude. u guys out 2nite?,,,
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,,,
ham,S now only i took tablets . Reaction morning only.,,,
ham,Printer is cool. I mean groovy. Wine is groovying,,,
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,,,
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.,,,
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",,,
ham,What time. IÛ÷m out until prob 3 or so,,,
ham,Wat would u like 4 ur birthday?,,,
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,,,
ham,Yes i will be there. Glad you made it.,,,
ham,Convey my regards to him,,,
ham,So Ì_ pay first lar... Then when is da stock comin...,,,
ham,"Sorry, I'll call later",,,
ham,&lt;#&gt;  w jetton ave if you forgot,,,
ham,am up to my eyes in philosophy,,,
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,,,
ham,ÌÏ comin to fetch us oredi...,,,
ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",,,
ham,We have pizza if u want,,,
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
spam,Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ÛÏ,,,
ham,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,"IåÕL CALL U\""""",
ham,"life alle mone,eppolum oru pole allalo",,,
ham,Pls help me tell Ashley that i cant find her number oh,,,
ham,Ok cool. See ya then.,,,
ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),,,
ham,Huh so fast... Dat means u havent finished painting?,,,
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",,,
ham,I have gone into get info bt dont know what to do,,,
ham,o turns out i had stereo love on mi phone under the unknown album.,,,
ham,"Just sent again. Do you scream and moan in bed, princess?",,,
ham,Lol yes. But it will add some spice to your day.,,,
ham,"I'm outside islands, head towards hard rock and you'll run into me",,,
ham,* Thought I didn't see you.,,,
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,,,
ham,"Mah b, I'll pick it up tomorrow",,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
ham,\alright babe," justthought iåÕd sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.\""""",,
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",,,
ham,LMAO where's your fish memory when I need it?,,,
ham,I will reach ur home in  &lt;#&gt;  minutes,,,
ham,Ok i vl..do u know i got adsense approved..,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Jus finished avatar nigro,,,
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,,,
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,,,
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",,,
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
ham,Yeah get the unlimited,,,
ham,Every day i use to sleep after  &lt;#&gt;  so only.,,,
ham,Stop knowing me so well!,,,
ham,Hurry home. Soup is DONE!,,,
ham,Update your face book status frequently :),,,
ham,No it will reach by 9 only. She telling she will be there. I dont know,,,
ham,Nope... Think i will go for it on monday... Sorry i replied so late,,,
ham,Host-based IDPS for linux systems.,,,
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,,,
ham,have * good weekend.,,,
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,,,
ham,Thank you baby! I cant wait to taste the real thing...,,,
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
ham,Gud mrng dear hav a nice day,,,
ham,"Sorry, I'll call later",,,
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,,,
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
ham,Ok lor then we go tog lor...,,,
ham,S:)8 min to go for lunch:),,,
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
ham,Shall call now dear having food,,,
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,,,
ham,I asked you to call him now ok,,,
ham,"I'll see, but prolly yeah",,,
ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,,,
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,,,
ham,U repeat e instructions again. Wat's e road name of ur house?,,,
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",,,
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,,,
ham,2 laptop... I noe infra but too slow lar... I wan fast one,,,
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,,,
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,,,
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,,,
ham,Am in gobi arts college,,,
ham,"Hmm well, night night ",,,
ham,"alright, I'll make sure the car is back tonight",,,
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,,,
ham,Did u see what I posted on your Facebook?,,,
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
ham,No break time one... How... I come out n get my stuff fr Ì_?,,,
ham,I'm in a movie. Call me 4 wat?,,,
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,,,
ham,Ok then i will come to ur home after half an hour,,,
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",,,
ham,I attended but nothing is there.,,,
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",,,
ham,Cos i want it to be your thing,,,
ham,I think the other two still need to get cash but we can def be ready by 9,,,
ham,Can you do a mag meeting this avo at some point?,,,
ham,"Nothing, i got msg frm tht unknown no..",,,
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,,,
spam,2/2 146tf150p,,,
ham,Discussed with your mother ah?,,,
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,,,
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",,,
ham,That's a shame! Maybe cld meet for few hrs tomo?,,,
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,,,
ham,I did. One slice and one breadstick. Lol,,,
ham,Men like shorter ladies. Gaze up into his eyes.,,,
ham,No need to say anything to me. I know i am an outsider,,,
ham,Gud mrng dear hav a nice day,,,
ham,I'll probably be by tomorrow (or even later tonight if something's going on),,,
ham,Haf u eaten? Wat time u wan me 2 come?,,,
ham,Can Ì_ send me a copy of da report?,,,
ham,Nobody names their penis a girls name this story doesn't add up at all,,,
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,,,
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",,,
ham,Oh wow thats gay. Will firmware update help,,,
ham,"Goodmorning,my grandfather expired..so am on leave today.",,,
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,,,
ham,Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,,,
ham,If you r @ home then come down within 5 min,,,
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,,,
ham,Oh...i asked for fun. Haha...take care. Ì_,,,
ham,Are you planning to come chennai?,,,
ham,Very hurting n meaningful lines ever: \I compromised everything for my love," But at d end my love compromised me for everything:-(\"".. Gud mornin:-)""",,
ham,PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),,,
ham,Yes.he have good crickiting mind,,,
ham,"Greetings me, ! Consider yourself excused.",,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
ham,I'll talk to the others and probably just come early tomorrow then,,,
ham,"G says you never answer your texts, confirm/deny",,,
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),,,
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",,,
ham,When did dad get back.,,,
ham,"Hmph. Go head, big baller.",,,
spam,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,,,
ham,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",,,
ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...,,,
ham,S:)but he had some luck.2 catches put down:),,,
ham,"We're all getting worried over here, derek and taylor have already assumed the worst",,,
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,,,
ham,Ya:)going for restaurant..,,,
ham,Yup Ì_ not comin :-(,,,
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,,,
ham,"Sounds good, keep me posted",,,
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",,,
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,,,
ham,Y Ì_ wan to go there? C doctor?,,,
ham,Oh that was a forwarded message. I thought you send that to me,,,
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,I'm not coming home 4 dinner.,,,
ham,Actually i'm waiting for 2 weeks when they start putting ad.,,,
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,,,
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,,,
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,,,
ham,"By the way, 'rencontre' is to meet again. Mountains dont....",,,
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,,,
ham,Did he just say somebody is named tampa,,,
ham,No problem. How are you doing?,,,
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,,,
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,,,
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
ham,Dai what this da.. Can i send my resume to this id.,,,
ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""",,,
ham,what are your new years plans?,,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,,,
ham,Its worse if if uses half way then stops. Its better for him to complete it.,,,
ham,Ok.,,,
ham,"Its ok., i just askd did u knw tht no?",,,
ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola.",,,
ham,Yes:)from last week itself i'm taking live call.,,,
ham,IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
ham,No need to buy lunch for me.. I eat maggi mee..,,,
ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",,,
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",,,
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,
ham,"Usf I guess, might as well take 1 car",,,
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,,,
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
ham,Boy you best get yo ass out here quick,,,
ham,No de.am seeing in online shop so that i asked.,,,
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,,,
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
ham,I got your back! Do you have any dislikes in bed?,,,
ham,Erutupalam thandiyachu,,,
ham,Ya! when are Ì_ taking ure practical lessons? I start in june..  ,,,
spam,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",,,
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,,,
ham,Good Morning plz call me sir,,,
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",,,
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,,,
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!,,,
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",,,
ham,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,,,
ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",,,
ham,"Now, whats your house # again ? And do you have any beer there ?",,,
ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),,,
ham,Arun can u transfr me d amt,,,
ham,Same as kallis dismissial in 2nd test:-).,,,
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,K...k...yesterday i was in cbe .,,,
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,,,
ham,\HEY KATE," HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.\""""",,
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex",,,
ham,Try neva mate!!,,,
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,,,
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",,,
ham,Yup bathe liao...,,,
ham,I am taking you for italian food. How about a pretty dress with no panties? :),,,
ham,K then 2marrow are you coming to class.,,,
ham,You still around? I could use a half-8th,,,
ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",,,
ham,But i juz remembered i gotta bathe my dog today..,,,
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,,,
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",,,
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour,,,
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",,,
ham,"Pity, * was in mood for that. So...any other suggestions?",,,
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,,,
ham,I re-met alex nichols from middle school and it turns out he's dealing!,,,
ham,Hey. You got any mail?,,,
ham,I had it already..sabarish asked me to go..,,,
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",,,
ham,Oops. 4 got that bit.,,,
ham,I dunno they close oredi not... ÌÏ v ma fan...,,,
ham,Hey anyway i have to :-),,,
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
ham,Ok...,,,
ham,Really good:)dhanush rocks once again:),,,
spam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,,,
ham,No..jst change tat only..,,,
ham,Then dun wear jeans lor...,,,
ham,With my sis lor... We juz watched italian job.,,,
ham,Just send a text. We'll skype later.,,,
ham,No b4 Thursday,,,
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,,,
ham,We have all rounder:)so not required:),,,
ham,I.ll post her out l8r. In class,,,
ham,"\Pete can you please ring meive hardly gotany credit\""""",,,
ham,I need you to be in my strong arms...,,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
ham,Its a part of checking IQ,,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,U don't remember that old commercial?,,,
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
ham,Yes:)here tv is always available in work place..,,,
ham,Dear good morning how you feeling dear,,,
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,,,
ham,I called and said all to him:)then he have to choose this future.,,,
ham,"Aight fuck it, I'll get it later",,,
ham,"Ya, told..she was asking wats matter?",,,
spam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",,,
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*""",,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
ham,Today am going to college so am not able to atten the class.,,,
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,,,
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )",,,
ham,Nope... Juz off from work...,,,
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",,,
ham,Lara said she can loan me  &lt;#&gt; .,,,
ham,I am in your office na.,,,
ham,Only once then after ill obey all yours.,,,
ham,Thought we could go out for dinner. I'll treat you! Seem ok?,,,
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",,,
ham,At the funeral home with Audrey and dad,,,
ham,Now press conference da:),,,
ham,Hi good mornin.. Thanku wish u d same..,,,
ham,I love to give massages. I use lots of baby oil... What is your fave position?,,,
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",,,
ham,Teach me apps da. When you come to college.,,,
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
ham,"Haha yeah, 2 oz is kind of a shitload",,,
ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",,,
ham,I love to cuddle! I want to hold you in my strong arms right now...,,,
ham,I.ll get there tomorrow and send it to you,,,
spam,You have 1 new message. Call 0207-083-6089,,,
ham,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,,,
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,,,
spam,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,,,
ham,Ma head dey swell oh. Thanks for making my day,,,
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
ham,"I just got home babe, are you still awake ?",,,
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,,,
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
ham,Yes its possible but dint try. Pls dont tell to any one k,,,
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_",,,
ham,Well its not like you actually called someone a punto. That woulda been worse.,,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
ham,"Come round, it's . ",,,
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,,,
ham,None of that's happening til you get here though,,,
ham,What's nannys address?,,,
ham,"Û_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon \""ham""",Well there's still a bit left if you guys want to tonight,,
ham,Oh :-)only 4 outside players allowed to play know,,,
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,,,
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",,,
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,,,
ham,Send his number and give reply tomorrow morning for why you said that to him like that ok,,,
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,,,
ham,* Am on a train back from northampton so i'm afraid not!,,,
ham,Would me smoking you out help us work through this difficult time,,,
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",,,
ham,Okie,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,If you have belive me. Come to my home.,,,
ham,R we going with the  &lt;#&gt;  bus?,,,
